epoch,loss,lr,mse,val_loss,val_mse
0,0.0423588901758194,1e-04,0.016589315608143806,0.0490226112306118,0.009176601655781269
1,0.023101653903722763,1e-04,0.0061393980868160725,0.04746132716536522,0.008990989066660404
2,0.020624728873372078,1e-04,0.005751332733780146,0.045678481459617615,0.008806852623820305
3,0.019488578662276268,1e-04,0.005424018017947674,0.04478216543793678,0.008236776106059551
4,0.016093827784061432,1e-04,0.004460651893168688,0.03137005493044853,0.0051991320215165615
5,0.010753464885056019,1e-04,0.0030054952949285507,0.010786628350615501,0.002494650660082698
6,0.008624703623354435,1e-04,0.0024458710104227066,0.008475053124129772,0.002127288142219186
7,0.007565320003777742,1e-04,0.0019524528179317713,0.007093416526913643,0.0017921561375260353
8,0.0071255844086408615,1e-04,0.001845907885581255,0.009349924512207508,0.0018240668578073382
9,0.0069368681870400906,1e-04,0.0018161339685320854,0.009107180871069431,0.001795374439097941
10,0.0065580396912992,1e-04,0.0017791605787351727,0.00554873188957572,0.0017107498133555055
11,0.006450329441577196,1e-04,0.0017430830048397183,0.006820088252425194,0.0017224142793565989
12,0.006134051363915205,1e-04,0.0016648115124553442,0.006120437756180763,0.0016493159346282482
13,0.005741787143051624,1e-04,0.0011137205874547362,0.004939676728099585,0.0007165157003328204
14,0.0052046142518520355,1e-04,0.0006433311500586569,0.0038032042793929577,0.0006038856226950884
15,0.00504686776548624,1e-04,0.0005817986675538123,0.005311529152095318,0.0005832629976794124
16,0.004625682253390551,1e-04,0.000225309471716173,0.004773042630404234,7.703995652263984e-05
17,0.004459541290998459,1e-04,7.868998363846913e-05,0.006271849852055311,8.54831887409091e-05
18,0.004316863603889942,1e-04,6.684488471364602e-05,0.004381247330456972,5.247511944617145e-05
19,0.004293536301702261,1e-04,6.303878035396338e-05,0.004091452807188034,4.4115600758232176e-05
20,0.004133618902415037,1e-04,5.800496364827268e-05,0.007382954936474562,9.707442950457335e-05
21,0.004029950592666864,1e-04,5.337034963304177e-05,0.004880836233496666,5.0896436732728034e-05
22,0.004009889904409647,1e-04,5.277914897305891e-05,0.004862887319177389,4.688820627052337e-05
23,0.0039002837147563696,1e-04,5.049283936386928e-05,0.006016455125063658,6.879528518766165e-05
24,0.0038330608513206244,1e-04,4.828536111745052e-05,0.004445162136107683,4.041853026137687e-05
25,0.003860123921185732,1e-04,4.716220064437948e-05,0.007405005861073732,9.840536949923262e-05
26,0.0037490581162273884,1e-04,4.5106389734428376e-05,0.0032653161324560642,3.564926009858027e-05
27,0.00370916910469532,1e-04,4.4802120100939646e-05,0.0030090296640992165,2.5579234716133215e-05
28,0.0036009440664201975,1e-04,4.200575494905934e-05,0.005117383785545826,4.360204911790788e-05
29,0.0035697552375495434,1e-04,4.0898947190726176e-05,0.00391188682988286,3.964491770602763e-05
30,0.0035441929940134287,1e-04,3.9991369703784585e-05,0.0024555837735533714,1.7522012058179826e-05
31,0.0034597653429955244,1e-04,3.821398058789782e-05,0.0032562315464019775,2.2800588340032846e-05
32,0.003424148540943861,1e-04,3.803123036050238e-05,0.003942805342376232,3.2798376196296886e-05
33,0.0033986985217779875,1e-04,3.648307756520808e-05,0.0027953300159424543,2.0947709344909526e-05
34,0.003310424042865634,1e-04,3.566836676327512e-05,0.0023145258892327547,1.6842042896314524e-05
35,0.003258509561419487,1e-04,3.375904998392798e-05,0.003043240401893854,2.1765235942439176e-05
36,0.003293200396001339,1e-04,3.475086123216897e-05,0.003497316734865308,2.530159144953359e-05
37,0.003244964173063636,1e-04,3.400844434509054e-05,0.0036042446736246347,2.687181950022932e-05
38,0.001730074523948133,5e-05,1.093292303266935e-05,0.0015671999426558614,8.628331670479383e-06
39,0.0017616930417716503,5e-05,1.0958934581140056e-05,0.001590494648553431,7.08701509211096e-06
40,0.0017179845599457622,5e-05,1.0534449756960385e-05,0.002343076514080167,1.2058293577865697e-05
41,0.0017235168488696218,5e-05,1.0466647836437915e-05,0.0015326904831454158,6.999009201535955e-06
42,0.0010117258643731475,2.5e-05,4.515086857281858e-06,0.0010645611910149455,3.9728970477881376e-06
43,0.0009972574189305305,2.5e-05,4.3612972149276175e-06,0.0014527536695823073,5.309120297170011e-06
44,0.001002152101136744,2.5e-05,4.320867901697056e-06,0.001389295794069767,4.680871370510431e-06
45,0.0010001665214076638,2.5e-05,4.258190074324375e-06,0.0010180164827033877,3.4213719573017443e-06
46,0.0007024268852546811,1.25e-05,2.799416506604757e-06,0.0007368378574028611,2.347250983802951e-06
47,0.000695647788234055,1.25e-05,2.6901673209067667e-06,0.0007111345184966922,2.2662115952698514e-06
48,0.0006836917600594461,1.25e-05,2.6266106942784972e-06,0.0007804564666002989,2.3724185211904114e-06
49,0.0006777762901037931,1.25e-05,2.5932561129593523e-06,0.0007154180784709752,2.2547262688021874e-06
50,0.0005690366378985345,6.25e-06,2.16531589103397e-06,0.0006298822117969394,2.0034508452226873e-06
51,0.0005632636602967978,6.25e-06,2.1193327484070323e-06,0.0006191503489390016,1.942064272952848e-06
52,0.0005584091413766146,6.25e-06,2.0875847894785693e-06,0.0006642004591412842,2.003936515393434e-06
53,0.00055312504991889,6.25e-06,2.0614311324607115e-06,0.0005714789731428027,1.8109908523911145e-06
54,0.0005163148161955178,3.125e-06,1.925150854731328e-06,0.0005570484790951014,1.6575007748542703e-06
55,0.0005125265452079475,3.125e-06,1.9031563169846777e-06,0.0005508322501555085,1.6343386732842191e-06
56,0.0005093084182590246,3.125e-06,1.8858765997720184e-06,0.0005398626090027392,1.6063006569311256e-06
57,0.000494430132675916,1.5625e-06,1.8311263829673408e-06,0.0005038937670178711,1.5134215800571837e-06
58,0.0004919093335047364,1.5625e-06,1.8187406567449216e-06,0.0004998401855118573,1.4985579355197842e-06
59,0.000490059144794941,1.5625e-06,1.8089459672410158e-06,0.0004964599502272904,1.487391614318767e-06
