epoch,loss,lr,mse,val_loss,val_mse
0,0.07756918668746948,1e-04,0.03143882006406784,0.1300152987241745,0.06609059870243073
1,0.05683267116546631,1e-04,0.020160075277090073,0.13310986757278442,0.07079415023326874
2,0.05450283735990524,1e-04,0.019686097279191017,0.13342010974884033,0.07175636291503906
3,0.05313624441623688,1e-04,0.019228225573897362,0.13234616816043854,0.07075133919715881
4,0.024495601654052734,1e-04,0.006745806895196438,0.0180452112108469,0.003120036330074072
5,0.011928408406674862,1e-04,0.00263974373228848,0.01106441393494606,0.002166604623198509
6,0.010268124751746655,1e-04,0.0020901609677821398,0.010084059089422226,0.002011791802942753
7,0.00942190457135439,1e-04,0.0019693763460963964,0.009797303937375546,0.0018919974099844694
8,0.008819416165351868,1e-04,0.0018841527635231614,0.0077397990971803665,0.0017551453784108162
9,0.008457663469016552,1e-04,0.0017159453127533197,0.007824336178600788,0.001424943096935749
10,0.007841945625841618,1e-04,0.0010547140846028924,0.00759817473590374,0.0007792224641889334
11,0.007180419284850359,1e-04,0.0007564498228020966,0.0065213777124881744,0.0006816952954977751
12,0.0069091180339455605,1e-04,0.0006302010733634233,0.007189282216131687,0.0004124192346353084
13,0.006527442019432783,1e-04,0.00021987379295751452,0.005759141407907009,0.0001705564500298351
14,0.00614258274435997,1e-04,0.0001570535241626203,0.006801077164709568,0.00015167062520049512
15,0.005906468257308006,1e-04,0.00014317814202513546,0.007989856414496899,0.0001506923872511834
16,0.005784028209745884,1e-04,0.00013192636833991855,0.004708548076450825,0.00010535454930504784
17,0.005680968519300222,1e-04,0.00012726965360343456,0.005864632781594992,0.00012441583385225385
18,0.005597512237727642,1e-04,0.00012205898383399472,0.006860794499516487,0.00011524429282872006
19,0.00544299790635705,1e-04,0.00011582370643736795,0.006143734324723482,0.00014941334666218609
20,0.005318351089954376,1e-04,0.00011292266572127119,0.00644274614751339,0.00016775575932115316
21,0.005156535655260086,1e-04,0.00010534738248679787,0.005563249811530113,8.319268090417609e-05
22,0.005168193485587835,1e-04,0.00010386591020505875,0.004497015383094549,9.489309741184115e-05
23,0.005010562017560005,1e-04,9.82866040430963e-05,0.004965382628142834,8.689513924764469e-05
24,0.004920187406241894,1e-04,9.471324301557615e-05,0.004910153336822987,9.214943565893918e-05
25,0.0048550814390182495,1e-04,9.285168198402971e-05,0.005980098154395819,9.5702416729182e-05
26,0.004861792549490929,1e-04,9.022394806379452e-05,0.004143624100834131,6.890470103826374e-05
27,0.0047095404006540775,1e-04,8.65855035954155e-05,0.004765716381371021,7.021303463261575e-05
28,0.0047012558206915855,1e-04,8.393056486966088e-05,0.004490361548960209,8.041359978960827e-05
29,0.004599392414093018,1e-04,8.078919199761003e-05,0.0037780418060719967,8.403418905800208e-05
30,0.004554866347461939,1e-04,8.160340075846761e-05,0.004934472031891346,7.081661897245795e-05
31,0.004553643986582756,1e-04,7.852564885979518e-05,0.0040981220081448555,8.053838246269152e-05
32,0.004425421357154846,1e-04,7.559024379588664e-05,0.004685714840888977,9.495358972344548e-05
33,0.004427098203450441,1e-04,7.533478492405266e-05,0.004631643649190664,8.269368845503777e-05
34,0.004345579072833061,1e-04,7.291582733159885e-05,0.0043714167550206184,5.89427727391012e-05
35,0.004403367638587952,1e-04,7.410033140331507e-05,0.003792166942730546,6.934463453944772e-05
36,0.0023901646491140127,5e-05,2.7297541237203404e-05,0.0023487654980272055,3.710040255100466e-05
37,0.002364742336794734,5e-05,2.6595997042022645e-05,0.0022524013184010983,4.054775490658358e-05
38,0.002383811166509986,5e-05,2.6766361770569347e-05,0.002146134153008461,3.795631346292794e-05
39,0.0023192246444523335,5e-05,2.546068571973592e-05,0.0019327148329466581,2.309322007931769e-05
40,0.0014562684809789062,2.5e-05,1.313129541813396e-05,0.0014661205932497978,1.5758962035761215e-05
41,0.0014389624120667577,2.5e-05,1.2419975064403843e-05,0.001604399411007762,1.7071004549507052e-05
42,0.0014103447319939733,2.5e-05,1.1953335160796996e-05,0.0015246504917740822,1.5936248018988408e-05
43,0.0014006407000124454,2.5e-05,1.1950801308557857e-05,0.001707401592284441,1.4936402294551954e-05
44,0.0010377318831160665,1.25e-05,8.140013051161077e-06,0.0011551204370334744,1.0344539077777881e-05
45,0.0010294315870851278,1.25e-05,7.862305210437626e-06,0.0011377268237993121,1.0230278348899446e-05
46,0.0010125655680894852,1.25e-05,7.636729606019799e-06,0.0011238736333325505,1.0143847248400562e-05
47,0.0010015091393142939,1.25e-05,7.468658623110969e-06,0.0011219517327845097,9.989853424485773e-06
48,0.0008641902240924537,6.25e-06,6.240518359845737e-06,0.0009346178267151117,9.443743692827411e-06
49,0.0008548974292352796,6.25e-06,6.078828846511897e-06,0.0009300950332544744,9.286647582484875e-06
50,0.0008466921863146126,6.25e-06,5.9673257055692375e-06,0.0009225236717611551,9.080791642190889e-06
51,0.000839804473798722,6.25e-06,5.864366357855033e-06,0.0009194447193294764,8.917037121136673e-06
52,0.0007831681286916137,3.125e-06,5.43141641173861e-06,0.0008015031344257295,7.810839633748401e-06
53,0.0007776205311529338,3.125e-06,5.347073056327645e-06,0.0007957211928442121,7.714472303632647e-06
54,0.0007729764911346138,3.125e-06,5.284828603180358e-06,0.0007906417013145983,7.614678452227963e-06
55,0.0007482105283997953,1.5625e-06,5.102824161440367e-06,0.0007569981389679015,7.177844508987619e-06
56,0.0007446390227414668,1.5625e-06,5.0515777729742695e-06,0.0007531710434705019,7.101790288288612e-06
57,0.0007419834728352726,1.5625e-06,5.016091563447844e-06,0.0007491597789339721,7.054448360577226e-06
