epoch,loss,mse,val_loss,val_mse
0,0.1273791491985321,0.07897762954235077,0.04766104742884636,0.01756635494530201
1,0.04402095824480057,0.014768563210964203,0.03631555289030075,0.011029334738850594
2,0.03380442410707474,0.00913203600794077,0.03352019563317299,0.007392216939479113
3,0.028438761830329895,0.006299000233411789,0.022708754986524582,0.004893151111900806
4,0.023315345868468285,0.004641128703951836,0.020930955186486244,0.004261384718120098
5,0.02055474929511547,0.003785492852330208,0.020069576799869537,0.003522505983710289
6,0.01853025145828724,0.0031676830258220434,0.01454975362867117,0.0026315886061638594
7,0.017233777791261673,0.002758861519396305,0.018249090760946274,0.002579742344096303
8,0.016388796269893646,0.0023073002230376005,0.015584697015583515,0.0020674671977758408
9,0.015035497955977917,0.001942441682331264,0.01503352914005518,0.0016945054521784186
10,0.01408049464225769,0.0016485078958794475,0.011032527312636375,0.0013325231848284602
11,0.013575905002653599,0.0014453736366704106,0.015687214210629463,0.0015160293551161885
12,0.012785819359123707,0.001229535206221044,0.013295508921146393,0.0012418890837579966
13,0.011467250064015388,0.00103886763099581,0.014606966637074947,0.0012561564799398184
14,0.011116154491901398,0.0009430355275981128,0.009288857690989971,0.0007521324441768229
15,0.01066069956868887,0.0008692595292814076,0.011089188978075981,0.0007536966586485505
16,0.009962538257241249,0.0007728757918812335,0.011069787666201591,0.0008336532628163695
17,0.01010166946798563,0.0007836013683117926,0.015125226229429245,0.0011667078360915184
18,0.00997945200651884,0.0007358748698607087,0.008210689760744572,0.000623960979282856
19,0.009801015257835388,0.0007031296263448894,0.006451837718486786,0.0005205471534281969
20,0.009205439127981663,0.0006532800034619868,0.010857738554477692,0.000697438430506736
21,0.008938356302678585,0.0006187042454257607,0.005994042847305536,0.00046959042083472013
22,0.008776772767305374,0.0006006582407280803,0.006207175087183714,0.0005102030700072646
23,0.008992040529847145,0.0006002773297950625,0.0065095736645162106,0.0004968062858097255
24,0.008041155524551868,0.0005294237635098398,0.00712400721386075,0.0004418972530402243
25,0.008643519133329391,0.00054716452723369,0.010809426195919514,0.000591686402913183
26,0.00809793546795845,0.000498166074976325,0.00859721191227436,0.00049418123671785
27,0.007798871025443077,0.0004766475467476994,0.00816724356263876,0.00047440381604246795
28,0.007581537123769522,0.000453969172667712,0.009529570117592812,0.0004991915775462985
29,0.007363106124103069,0.00043111227569170296,0.005299852229654789,0.00034862145548686385
30,0.007535208016633987,0.00043712128535844386,0.006429567001760006,0.0003882738819811493
31,0.0072423238307237625,0.0004143058031331748,0.005417037755250931,0.00034646663698367774
32,0.00753141799941659,0.00042994634713977575,0.005912474822252989,0.0003384751034900546
33,0.007084811571985483,0.0004005430964753032,0.006512657273560762,0.00037178568891249597
34,0.0075265709310770035,0.0004127538704778999,0.008332950063049793,0.0004377121804282069
35,0.0072570485062897205,0.00039765541441738605,0.006340328603982925,0.00035462103551253676
36,0.00681401276960969,0.00037502904888242483,0.007385076954960823,0.00037353820516727865
37,0.0069380151107907295,0.0003746572765521705,0.005961228162050247,0.0003248624852858484
38,0.006645536981523037,0.00035837508039548993,0.005422000307589769,0.00029383564833551645
39,0.00633578933775425,0.0003404175804462284,0.00484122708439827,0.0002809876168612391
40,0.006698951590806246,0.00035965925781056285,0.007017612922936678,0.0003006968763656914
41,0.006578393746167421,0.0003437923442106694,0.007854616269469261,0.00039373442996293306
42,0.006280720699578524,0.00032594770891591907,0.007037169765681028,0.00036692782305181026
43,0.004056667909026146,0.0002579569991212338,0.0035682048182934523,0.00024789542658254504
44,0.004139336757361889,0.0002584702742751688,0.003942345269024372,0.00024651148123666644
45,0.0041077760979533195,0.00025529685080982745,0.0033795235212892294,0.00024116781423799694
46,0.004188207443803549,0.0002555865503381938,0.003796169999986887,0.0002497705863788724
47,0.00307532399892807,0.00023298918677028269,0.0030072524677962065,0.00023331347620114684
48,0.003173526143655181,0.00023328137467615306,0.0029792364221066236,0.0002318854385521263
49,0.003126294119283557,0.00023127875465434045,0.0032577081583440304,0.00023159352713264525
50,0.003182506188750267,0.00023112069175112993,0.0035047137644141912,0.00023568743199575692
51,0.002738088136538863,0.0002246448420919478,0.0027392348274588585,0.0002249659301014617
52,0.002743906807154417,0.00022418700973503292,0.002658288925886154,0.0002241009788122028
53,0.0027284622192382812,0.0002232942933915183,0.0027344480622559786,0.00022436455765273422
54,0.0027114846743643284,0.00022231326147448272,0.0027185615617781878,0.0002230508252978325
55,0.0025694125797599554,0.0002203711192123592,0.0025832958053797483,0.00022155609622132033
56,0.0025649676099419594,0.00022001424804329872,0.002647345419973135,0.0002214009000454098
57,0.0025675734505057335,0.0002195397246396169,0.002564264927059412,0.00021979812299832702
58,0.0025470403488725424,0.00021883970475755632,0.002617912832647562,0.00022050058760214597
59,0.0024949184153229,0.0002180337905883789,0.0025852485559880733,0.00022033431741874665
60,0.002491707680746913,0.00021774043852929026,0.0025236201472580433,0.00021884120360482484
61,0.002481987699866295,0.0002174205583287403,0.0025105513632297516,0.0002188229700550437
62,0.0024571113754063845,0.000216959640965797,0.002563157817348838,0.00021887291222810745
63,0.0024563991464674473,0.00021680603094864637,0.0024762279354035854,0.00021790667960885912
64,0.0024501050356775522,0.00021658632613252848,0.0024763077963143587,0.0002177898131776601
