epoch,loss,lr,mse
0,0.07507281005382538,0.001,0.03766997531056404
1,0.03558075428009033,0.001,0.008448561653494835
2,0.03104710951447487,0.001,0.006994107738137245
3,0.02770731784403324,0.001,0.00586643535643816
4,0.025250032544136047,0.001,0.005165854934602976
5,0.023865126073360443,0.001,0.004703318700194359
6,0.022924507036805153,0.001,0.004340746905654669
7,0.02150678262114525,0.001,0.0039389170706272125
8,0.02057826705276966,0.001,0.003650311380624771
9,0.019718535244464874,0.001,0.0034550281707197428
10,0.019054701551795006,0.001,0.003255542367696762
11,0.018575573340058327,0.001,0.0030869629699736834
12,0.01810993254184723,0.001,0.002926569664850831
13,0.017540764063596725,0.001,0.0028150470461696386
14,0.016972417011857033,0.001,0.002679892349988222
15,0.016621043905615807,0.001,0.0025592141319066286
16,0.01613468863070011,0.001,0.0024609947577118874
17,0.015663789585232735,0.001,0.0023387675173580647
18,0.015675082802772522,0.001,0.0023083698470145464
19,0.015211776830255985,0.001,0.0021902506705373526
20,0.015078012831509113,0.001,0.0021782841067761183
21,0.014727775938808918,0.001,0.0020785401575267315
22,0.014472857117652893,0.001,0.0020135531667619944
23,0.014978586696088314,0.001,0.0021648912224918604
24,0.014273607172071934,0.001,0.0019564246758818626
25,0.013978399336338043,0.001,0.0019072024151682854
26,0.013774214312434196,0.001,0.0018692822195589542
27,0.013405916281044483,0.001,0.0018044128082692623
28,0.013631246984004974,0.001,0.0018090525409206748
29,0.013361185789108276,0.001,0.0017548070754855871
30,0.013083536177873611,0.001,0.001708205440081656
31,0.01285766065120697,0.001,0.0016667717136442661
32,0.012821434997022152,0.001,0.001645481213927269
33,0.012590809725224972,0.001,0.001628593890927732
34,0.012443709187209606,0.001,0.0015923361061140895
35,0.012297543697059155,0.001,0.0015470734797418118
36,0.012283338233828545,0.001,0.0015373467467725277
37,0.012059786356985569,0.001,0.0014920285902917385
38,0.01201830618083477,0.001,0.001486977911554277
39,0.012012749910354614,0.001,0.0014640431618317962
40,0.011936422437429428,0.001,0.0014562663855031133
41,0.011759097687900066,0.001,0.0014129038900136948
42,0.011658125557005405,0.001,0.0013992744497954845
43,0.011504720896482468,0.001,0.001391629222780466
44,0.011405597440898418,0.001,0.0013671087799593806
45,0.011248163878917694,0.001,0.00134319718927145
46,0.011135389097034931,0.001,0.0013318646233528852
47,0.011378664523363113,0.001,0.0013461344642564654
48,0.0109391575679183,0.001,0.0012880888534709811
49,0.011080389842391014,0.001,0.0012962863547727466
50,0.01101358886808157,0.001,0.0012832862557843328
51,0.010927876457571983,0.001,0.001256779651157558
52,0.006860299967229366,0.0005,0.000694704067427665
53,0.0067864079028368,0.0005,0.0006582409259863198
54,0.00666370103135705,0.0005,0.0006410569767467678
55,0.006632842123508453,0.0005,0.0006324659334495664
56,0.006553127430379391,0.0005,0.0006182370125316083
57,0.0064643737860023975,0.0005,0.0005996908294036984
58,0.006493409164249897,0.0005,0.0006010871729813516
59,0.006405440624803305,0.0005,0.0005880918470211327
60,0.006508850026875734,0.0005,0.000587322108913213
61,0.006353304255753756,0.0005,0.0005730128614231944
62,0.006316523998975754,0.0005,0.0005643985932692885
63,0.004461981356143951,0.00025,0.000373311631847173
64,0.004365317989140749,0.00025,0.00035666473559103906
65,0.004312477540224791,0.00025,0.0003476309066172689
66,0.004251479171216488,0.00025,0.0003380593261681497
67,0.004210473503917456,0.00025,0.00033194752177223563
68,0.004167507868260145,0.00025,0.00032532011391595006
69,0.004158601630479097,0.00025,0.00032115273643285036
70,0.004143744241446257,0.00025,0.0003145007067359984
71,0.00329664908349514,0.000125,0.0002459130191709846
72,0.003239397192373872,0.000125,0.00023395029711537063
73,0.003178750164806843,0.000125,0.00022794662800151855
74,0.0031502037309110165,0.000125,0.00022218881349544972
75,0.0031081519555300474,0.000125,0.00021758479124400765
76,0.0030761449597775936,0.000125,0.0002144004829460755
77,0.0030330955050885677,0.000125,0.0002092529321089387
78,0.0030188097152858973,0.000125,0.00020510423928499222
79,0.0029765276703983545,0.000125,0.0002013606863329187
80,0.002641815459355712,6.25e-05,0.00017364593804813921
81,0.002583126537501812,6.25e-05,0.00016629474703222513
82,0.002548128366470337,6.25e-05,0.00016252252680715173
83,0.002517012180760503,6.25e-05,0.00015843432629480958
84,0.0024885404855012894,6.25e-05,0.0001554201153339818
85,0.002459361217916012,6.25e-05,0.00015229376731440425
86,0.0024447478353977203,6.25e-05,0.00015007646288722754
87,0.00228457385674119,3.125e-05,0.00013837183360010386
88,0.0022467703092843294,3.125e-05,0.00013442100316751748
89,0.0022213009651750326,3.125e-05,0.00013176992069929838
90,0.002199835842475295,3.125e-05,0.000129513384308666
91,0.002129379427060485,1.5625e-05,0.00012582464842125773
92,0.0021033429075032473,1.5625e-05,0.0001232357753906399
93,0.002085805404931307,1.5625e-05,0.00012175310985185206
94,0.0020712735131382942,1.5625e-05,0.00012040475849062204
95,0.0020409387070685625,7.8125e-06,0.00011843021638924256
96,0.002024707617238164,7.8125e-06,0.00011722612543962896
97,0.002013940829783678,7.8125e-06,0.00011645063932519406
98,0.0020044581033289433,7.8125e-06,0.00011566479952307418
99,0.0019961176440119743,7.8125e-06,0.00011511552293086424
100,0.0019851508550345898,3.90625e-06,0.00011413510947022587
